temperature_celsius,temperature_fahrenheit,humidity,country,location_name,region,latitude,longitude,Alert
27.5,81.5,67,India,Ashoknagar,Madhya Pradesh,24.57,77.72,Moderate
27.5,81.5,70,India,Raisen,Madhya Pradesh,23.33,77.8,Moderate
26.3,79.3,70,India,Chhindwara,Madhya Pradesh,22.07,78.93,Moderate
25.6,78.1,76,India,Betul,Madhya Pradesh,21.86,77.93,Moderate
27.2,81.0,74,India,Hoshangabad,Madhya Pradesh,22.75,77.72,Moderate
25.9,78.6,77,India,Sehore,Madhya Pradesh,23.2,77.08,Moderate
28.0,82.4,70,India,Jabalpur,Madhya Pradesh,23.17,79.95,Moderate
27.7,81.9,71,India,Narsimhapur,Madhya Pradesh,22.95,79.2,Moderate
30.0,86.0,60,India,Panna,Madhya Pradesh,24.72,80.2,Moderate
26.0,78.8,74,India,Ujjain,Madhya Pradesh,23.18,75.77,Moderate
30.6,87.1,57,India,Rewa,Madhya Pradesh,24.53,81.3,High
30.3,86.5,55,India,Dindori,Madhya Pradesh,22.95,81.08,High
28.3,82.9,67,India,Balaghat,Madhya Pradesh,21.78,80.25,Moderate
27.2,81.0,65,India,Barwani,Madhya Pradesh,22.03,74.9,Moderate
30.1,86.2,58,India,Satna,Madhya Pradesh,24.58,80.83,High
30.0,86.0,60,India,Chhatarpur,Madhya Pradesh,24.9,79.6,Moderate
26.0,78.8,74,India,Indore,Madhya Pradesh,22.72,75.83,Moderate
26.5,79.7,64,India,Ratlam,Madhya Pradesh,23.32,75.07,Moderate
28.4,83.1,64,India,Harda,Madhya Pradesh,22.33,77.1,Moderate
26.9,80.4,71,India,Sagar,Madhya Pradesh,23.83,78.72,Moderate
26.7,80.1,66,India,Neemuch,Madhya Pradesh,24.48,74.87,Moderate
28.1,82.6,65,India,Tikamgarh,Uttar Pradesh,24.73,78.83,Moderate
27.4,81.3,69,India,Guna,Madhya Pradesh,24.65,77.32,Moderate
26.0,78.8,74,India,Dewas,Madhya Pradesh,22.97,76.07,Moderate
27.0,80.6,66,India,Mandsaur,Madhya Pradesh,24.07,75.07,Moderate
27.2,81.0,65,India,Khargone,Madhya Pradesh,21.82,75.6,Moderate
29.9,85.8,57,India,Sheopur,Madhya Pradesh,25.67,76.7,Moderate
31.6,88.9,53,India,Morena,Madhya Pradesh,26.5,78.0,High
32.4,90.3,50,India,Bhind,Madhya Pradesh,26.56,78.79,High
27.3,81.1,63,India,Jhabua,Madhya Pradesh,22.77,74.6,Moderate
26.7,80.1,69,India,Seoni,Madhya Pradesh,22.08,79.53,Moderate
28.2,82.8,64,India,Khandwa,Madhya Pradesh,21.83,76.33,Moderate
27.0,80.6,74,India,Umaria,Madhya Pradesh,23.53,80.83,Moderate
31.1,88.0,55,India,Gwalior,Madhya Pradesh,26.22,78.18,High
28.8,83.8,64,India,Damoh,Madhya Pradesh,23.83,79.45,Moderate
26.0,78.8,74,India,Dhar,Madhya Pradesh,22.6,75.3,Moderate
32.0,89.6,63,India,Katni,Orissa,20.3,85.72,High
30.1,86.2,60,India,Sidhi,Madhya Pradesh,24.42,81.88,High
28.5,83.3,61,India,Alirajpur,Madhya Pradesh,22.3,74.35,Moderate
26.9,80.4,72,India,Bhopal,Madhya Pradesh,23.27,77.4,Moderate
30.8,87.4,53,India,Rajgarh,Rajasthan,27.23,76.63,High
27.0,80.6,72,India,Mandla,Madhya Pradesh,22.6,80.38,Moderate
26.9,80.4,67,India,Shajapur,Madhya Pradesh,23.43,76.27,Moderate
27.7,81.9,67,India,Shivpuri,Madhya Pradesh,25.43,77.65,Moderate
30.2,86.4,59,India,Datia,Madhya Pradesh,25.67,78.47,High
28.6,83.5,64,India,Burhanpur,Madhya Pradesh,21.3,76.23,Moderate
27.6,81.7,63,India,Anuppur,Madhya Pradesh,23.1,81.68,Moderate
27.7,81.9,68,India,Shahdol,Madhya Pradesh,23.28,81.35,Moderate
27.6,81.7,70,India,Vidisha,Madhya Pradesh,23.53,77.82,Moderate
29.2,84.6,61,India,Una,Gujarat,20.82,71.03,Moderate
20.7,69.3,59,India,Solan,Himachal Pradesh,30.92,77.12,Moderate
31.8,89.2,54,India,Sirmaur,Madhya Pradesh,24.85,81.38,High
20.3,68.5,64,India,Chamba,Himachal Pradesh,32.57,76.13,Moderate
20.7,69.3,59,India,Shimla,Himachal Pradesh,31.1,77.17,Moderate
30.9,87.6,51,India,Bilaspur,Chhattisgarh,22.08,82.15,High
23.8,74.8,62,India,Kangra,Himachal Pradesh,32.1,76.27,Moderate
25.5,77.9,56,India,Mandi,Himachal Pradesh,31.72,76.92,Moderate
30.8,87.4,57,India,Hamirpur,Uttar Pradesh,25.95,80.15,High
27.2,81.0,65,India,Talab Data,Jammu and Kashmir,32.65,74.93,Moderate
15.3,59.5,62,India,Anantnag,Jammu and Kashmir,33.73,75.15,Mild
22.8,73.0,45,India,Baramula,Jammu and Kashmir,34.21,74.34,Moderate
15.3,59.5,62,India,Kulgam,Jammu and Kashmir,33.65,75.02,Mild
15.3,59.5,62,India,Shupiyan,Jammu and Kashmir,33.72,74.83,Mild
27.2,81.0,65,India,Jammu,Jammu and Kashmir,32.73,74.87,Moderate
7.1,44.8,27,India,Leh,Jammu and Kashmir,34.17,77.58,Low
20.1,68.2,65,India,Srinagar,Jammu and Kashmir,34.09,74.8,Moderate
18.5,65.3,70,India,Doda,Jammu and Kashmir,33.13,75.57,Mild
20.0,68.0,66,India,Pulwama,Jammu and Kashmir,33.88,74.92,Mild
21.5,70.7,73,India,Ramban,Jammu and Kashmir,33.25,75.25,Moderate
20.1,68.2,65,India,Ganderbal,Jammu and Kashmir,34.23,74.78,Moderate
27.2,81.0,65,India,Udhampur,Jammu and Kashmir,32.93,75.13,Moderate
20.1,68.2,65,India,Badgam,Jammu and Kashmir,34.02,74.72,Moderate
32.4,90.3,49,India,Punch,Uttar Pradesh,25.82,79.05,High
17.8,64.0,66,India,Kupwara,Jammu and Kashmir,34.03,74.26,Mild
27.2,81.0,65,India,Samba,Jammu and Kashmir,32.57,75.12,Moderate
27.3,81.1,68,India,Kathua,Jammu and Kashmir,32.37,75.52,Moderate
14.2,57.6,22,India,Kargil,Jammu and Kashmir,34.57,76.1,Mild
17.5,63.5,64,India,Kishtwar,Jammu and Kashmir,33.32,75.77,Mild
28.6,83.5,69,India,Daman,Daman and Diu,20.42,72.85,Moderate
27.8,82.0,70,India,Diu,Daman and Diu,20.7,70.98,Moderate
30.0,86.0,66,India,Bhavnagar,Gujarat,21.77,72.15,Moderate
31.1,88.0,52,India,Udaipur,Rajasthan,27.72,75.48,High
29.9,85.8,52,India,Vadodara,Gujarat,22.3,73.2,Moderate
31.0,87.8,66,India,Kantha,Uttar Pradesh,26.58,80.75,High
31.5,88.7,44,India,Surendranagar,Gujarat,22.7,71.68,High
30.3,86.5,52,India,Anand,Gujarat,22.57,72.93,High
30.2,86.4,50,India,Amreli,Gujarat,21.62,71.23,High
27.3,81.1,63,India,Dohad,Gujarat,22.83,74.27,Moderate
29.0,84.2,75,India,Rajkot,Gujarat,22.3,70.78,Moderate
29.6,85.3,54,India,Mahesana,Gujarat,23.6,72.4,Moderate
28.0,82.4,61,India,Patan,Gujarat,23.83,72.12,Moderate
29.7,85.5,56,India,Bharuch,Gujarat,21.7,72.97,Moderate
27.7,81.9,70,India,Somnath,Gujarat,20.88,70.37,Moderate
29.4,84.9,57,India,Junagadh,Gujarat,21.52,70.47,Moderate
27.9,82.2,71,India,Dwarka,Gujarat,22.24,68.97,Moderate
28.4,83.1,70,India,Navsari,Gujarat,20.85,72.92,Moderate
28.4,83.1,69,India,Surat,Gujarat,20.97,72.9,Moderate
29.2,84.6,59,India,Jamnagar,Gujarat,22.47,70.07,Moderate
27.7,81.9,70,India,Porbandar,Gujarat,21.63,69.6,Moderate
28.6,83.5,69,India,Valsad,Gujarat,20.63,72.93,Moderate
30.0,86.0,70,India,Gandhinagar,Gujarat,23.22,72.68,Moderate
29.0,84.2,75,India,Morbi,Gujarat,22.82,70.83,Moderate
30.0,86.0,70,India,Kheda,Gujarat,22.75,72.68,Moderate
28.3,82.9,71,India,Dadra,Dadra and Nagar Haveli,20.32,72.97,Moderate
33.0,91.4,63,India,Krishna,Andhra Pradesh,16.17,81.13,High
33.8,92.8,44,India,East Godavari,Andhra Pradesh,16.93,82.22,High
32.0,89.6,54,India,Visakhapatnam,Andhra Pradesh,17.7,83.3,High
35.3,95.5,40,India,Nellore,Andhra Pradesh,14.43,79.97,High
32.2,90.0,48,India,Chittoor,Andhra Pradesh,13.2,79.12,High
32.7,90.9,51,India,Srikakulam,Andhra Pradesh,18.3,83.9,High
30.9,87.6,50,India,Kurnool,Andhra Pradesh,15.83,78.05,High
33.0,91.4,63,India,Guntur,Andhra Pradesh,16.3,80.45,High
33.3,91.9,46,India,Vizianagaram,Andhra Pradesh,18.12,83.42,High
31.0,87.8,45,India,Anantapur,Andhra Pradesh,14.68,77.6,High
33.0,91.4,63,India,West Godavari,Andhra Pradesh,16.7,81.1,High
32.0,89.6,49,India,Kadapa,Andhra Pradesh,14.47,78.82,High
33.0,91.4,47,India,Jamtara,Jharkhand,23.95,86.8,High
34.0,93.2,53,India,Saraikela,Jharkhand,22.72,85.95,High
32.0,89.6,67,India,Simdega,Jharkhand,22.62,84.52,High
30.9,87.6,56,India,Latehar,Jharkhand,23.75,84.5,High
30.0,86.0,62,India,Khunti,Jharkhand,23.08,85.28,Moderate
28.9,84.0,54,India,Hazaribagh,Jharkhand,23.98,85.35,Moderate
32.0,89.6,67,India,Chatra,Jharkhand,24.22,84.87,High
